d_beg, d_end, Y, x, y
100, 100, 0.1378, 0.2951, 0.2631
0, 3, 54.48, 0.3125, 0.3378
2, 5, 0.9359, 0.2507, 0.2376
4, 7, 0.6818, 0.2627, 0.251
6, 9, 0.8852, 0.2409, 0.2278
8, 11, 1.328, 0.2263, 0.2071
10, 13, 1.176, 0.2215, 0.1883
12, 15, 0.8699, 0.2086, 0.1647
14, 17, 0.679, 0.2042, 0.1581
16, 19, 0.4406, 0.2148, 0.1696
18, 21, 0.2805, 0.2427, 0.2063
20, 23, 0.214, 0.2702, 0.2399
22, 25, 0.1925, 0.2791, 0.2557
24, 27, 0.1861, 0.2839, 0.2602
26, 29, 0.1844, 0.2856, 0.2642
28, 31, 0.1722, 0.2877, 0.2633
30, 33, 0.1702, 0.2878, 0.2637
32, 35, 0.1649, 0.2846, 0.2614
34, 37, 0.1641, 0.2887, 0.2634
36, 39, 0.1615, 0.2883, 0.2637
38, 41, 0.161, 0.291, 0.2648
40, 43, 0.157, 0.2914, 0.2632
42, 45, 0.1531, 0.2906, 0.2645
44, 47, 0.1502, 0.2898, 0.2649
46, 49, 0.1473, 0.2918, 0.2617
48, 51, 0.1399, 0.2916, 0.2611
0, 5, 47.01, 0.3107, 0.3355
2, 7, 1.357, 0.2585, 0.2544
4, 9, 1.081, 0.2626, 0.257
6, 11, 1.111, 0.2559, 0.2496
8, 13, 1.461, 0.2474, 0.2354
10, 15, 1.639, 0.2433, 0.2259
12, 17, 1.408, 0.2321, 0.2036
14, 19, 1.106, 0.2121, 0.1716
16, 21, 0.9393, 0.2001, 0.1529
18, 23, 0.7753, 0.1997, 0.1492
20, 25, 0.5475, 0.2075, 0.1568
22, 27, 0.4515, 0.2127, 0.1614
24, 29, 0.3472, 0.2287, 0.1829
26, 31, 0.2809, 0.2477, 0.2068
28, 33, 0.2255, 0.2646, 0.2334
30, 35, 0.2043, 0.2762, 0.2498
32, 37, 0.1912, 0.2891, 0.2605
34, 39, 0.1868, 0.2881, 0.2663
36, 41, 0.1792, 0.2904, 0.2633
38, 43, 0.1735, 0.2927, 0.2641
40, 45, 0.1765, 0.2965, 0.2752
42, 47, 0.1625, 0.2918, 0.2649
44, 49, 0.1642, 0.2981, 0.2721
46, 51, 0.1622, 0.2994, 0.272
48, 53, 0.1524, 0.2978, 0.2682
